id	sz_name	sz_name_en	sz_path	sz_monster_distribute	sz_portal_conf	mmapId
1	比奇省	enname	map/0.MAP	conf/map/map1MonsterConf.tab	conf/map/map1Portal.tab
2	赌场厨房	enname	map/0100.MAP	conf/map/map2MonsterConf.tab	conf/map/map2Portal.tab
3	赌场	enname	map/0101.MAP	conf/map/map3MonsterConf.tab	conf/map/map3Portal.tab
4	比奇肉店	enname	map/102.MAP	conf/map/map4MonsterConf.tab	conf/map/map4Portal.tab
5	比奇武器店	enname	map/0103.MAP	conf/map/map5MonsterConf.tab	conf/map/map5Portal.tab
6	比奇书店	enname	map/0104.MAP	conf/map/map6MonsterConf.tab	conf/map/map6Portal.tab
7	比奇首饰店	enname	map/0105.MAP	conf/map/map7MonsterConf.tab	conf/map/map7Portal.tab
8	比奇衣服店	enname	map/0106.MAP	conf/map/map8MonsterConf.tab	conf/map/map8Portal.tab
9	会议厅	enname	map/0107.MAP	conf/map/map9MonsterConf.tab	conf/map/map9Portal.tab
10	比奇药店	enname	map/0108.MAP	conf/map/map10MonsterConf.tab	conf/map/map10Portal.tab
11	比奇炼毒室	enname	map/0109.MAP	conf/map/map11MonsterConf.tab	conf/map/map11Portal.tab
12	比奇练武场	enname	map/0110.MAP	conf/map/map12MonsterConf.tab	conf/map/map12Portal.tab
13	比奇练武场	enname	map/0111.MAP	conf/map/map13MonsterConf.tab	conf/map/map13Portal.tab
14	比奇练武场	enname	map/0112.MAP	conf/map/map14MonsterConf.tab	conf/map/map14Portal.tab
15	高级道士之家	enname	map/0113.MAP	conf/map/map15MonsterConf.tab	conf/map/map15Portal.tab
16	道士之家任务地图	enname	map/01132.MAP	conf/map/map16MonsterConf.tab	conf/map/map16Portal.tab
17	高级战士之家	enname	map/0114.MAP	conf/map/map17MonsterConf.tab	conf/map/map17Portal.tab
18	引导房	enname	map/01141.MAP	conf/map/map18MonsterConf.tab	conf/map/map18Portal.tab
19	战士之家任务地图	enname	map/01142.MAP	conf/map/map19MonsterConf.tab	conf/map/map19Portal.tab
20	高级魔法师之家	enname	map/0115.MAP	conf/map/map20MonsterConf.tab	conf/map/map20Portal.tab
21	魔法师之家任务地图	enname	map/01152.MAP	conf/map/map21MonsterConf.tab	conf/map/map21Portal.tab
22	毒蛇山谷客栈	enname	map/0116.MAP	conf/map/map22MonsterConf.tab	conf/map/map22Portal.tab
23	毒蛇山谷药店	enname	map/0117.MAP	conf/map/map23MonsterConf.tab	conf/map/map23Portal.tab
24	银杏山谷药店入口间	enname	map/0118.MAP	conf/map/map24MonsterConf.tab	conf/map/map24Portal.tab
25	银杏山谷药店	enname	map/0119.MAP	conf/map/map25MonsterConf.tab	conf/map/map25Portal.tab
26	毒蛇山谷武器店	enname	map/0120.MAP	conf/map/map26MonsterConf.tab	conf/map/map26Portal.tab
27	密室	enname	map/0121.MAP	conf/map/map27MonsterConf.tab	conf/map/map27Portal.tab
